TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Days,Years
57950,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,18 Byron Ct,1.0,Sidewalk: Curb side : Cutout,Private,2010-08-11 00:00:00,7,,37.70956262,-122.4444722,4928,13.501369863013698
90211,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2349X Balboa St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-04-10 00:00:00,3,3x3,37.77627221,-122.4839111,5781,15.838356164383562
38276,DPW Maintained,Jacaranda mimosifolia :: Jacaranda,651 Texas St,10.0,Sidewalk: Curb side : Cutout,Private,1998-07-27 00:00:00,3,,37.75786429,-122.3948525,9326,25.55068493150685
86898,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1515 Greenwich St,3.0,Sidewalk: Curb side : Cutout,Private,2007-10-26 00:00:00,5,3x3,37.80027812,-122.4249778,5948,16.295890410958904
260852,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,629 33rd Ave,,Sidewalk: Curb side : Cutout,DPW,2020-08-13 00:00:00,3,,37.77721472,-122.4932,1273,3.4876712328767123
27912,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,100 The Embarcadero,6.0,Sidewalk: Curb side : Cutout,Port,2001-02-01 00:00:00,12,3X3,37.78126372,-122.3885764,8406,23.03013698630137
4061,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3045 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,Private,1995-04-01 00:00:00,12,3x3,37.7482038,-122.4103568,10539,28.873972602739727
213107,DPW Maintained,Prunus cerasifera :: Cherry Plum,133 Cresta Vista Dr,1.0,Sidewalk: Curb side : Cutout,Private,1988-07-06 00:00:00,4,Width 3ft,37.73560203,-122.4566651,12999,35.61369863013699
22396,DPW Maintained,Tristania conferta ::,5700 03rd St,5.0,Sidewalk: Curb side : Cutout,Private,1995-02-17 00:00:00,6,3X3,37.72592195,-122.394195,10582,28.991780821917807
109099,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,605 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,Private,2015-01-27 00:00:00,3,3x3,37.77913524,-122.458912,3298,9.035616438356165
5159,DPW Maintained,Pyrus calleryana :: Ornamental Pear,280 Divisadero St,1.0,Sidewalk: Curb side : Cutout,DPW,2014-04-04 00:00:00,3,3x3,37.77177024,-122.437024,3596,9.852054794520548
65039,DPW Maintained,Prunus cerasifera :: Cherry Plum,900 Green St,1.0,Sidewalk: Curb side : Cutout,Private,1989-05-19 00:00:00,6,,37.79894241,-122.4140673,12682,34.74520547945205
37209,DPW Maintained,Crataegus phaenopyrum :: Washington Hawthorn,1915 32nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-12 00:00:00,3,,37.7513993,-122.4903164,9371,25.673972602739727
9596,DPW Maintained,Tristania conferta ::,1340 Golden Gate Ave,2.0,Sidewalk: Curb side : Cutout,DPW,1991-01-02 00:00:00,11,3X3,37.77954004,-122.432699,12089,33.12054794520548
42141,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,662 15th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-21 00:00:00,9,,37.77565081,-122.473541,8631,23.646575342465752
117441,DPW Maintained,Myoporum laetum :: Myoporum,1204 20th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2016-11-07 00:00:00,3,3x3,37.76522116,-122.4782216,2648,7.254794520547946
111193,Section 143,Eriobotrya deflexa :: Bronze Loquat,890x JARBOE AVE,1.0,Sidewalk: Curb side : Cutout,Private,2015-11-30 00:00:00,1,3x3,37.73804345,-122.4109839,2991,8.194520547945206
38100,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1265 27th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-07-13 00:00:00,4,,37.76385123,-122.4858358,9340,25.589041095890412
66120,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,474 10th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1990-08-15 00:00:00,11,6x9,37.77938311,-122.46838,12229,33.50410958904109
253546,DPW Maintained,Olea europaea :: Olive Tree,1000 Cayuga Ave,14.0,Back Yard : Yard,DPW,2017-09-27 11:50:00,3,3x3,37.72207681,-122.4398369,2323,6.364383561643836
127506,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',281 Geary St,4.0,Sidewalk: Curb side : Cutout,Private,2018-08-17 00:00:00,3,Width 4ft,37.78735425,-122.4076213,2000,5.47945205479452
125204,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,2000 Washington St,1.0,Sidewalk: Curb side : Cutout,Private,2019-03-04 00:00:00,3,Width 3ft,37.79267897,-122.4263111,1801,4.934246575342466
116632,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2332 Anza St,1.0,Sidewalk: Curb side : Cutout,DPW,2018-03-27 11:42:00,3,3x3,37.77875804,-122.4733292,2142,5.868493150684931
30094,DPW Maintained,Lophostemon confertus :: Brisbane Box,6190X 03rd St,4.0,Sidewalk: Curb side : Cutout,DPW,2014-02-14 00:00:00,3,3X3,37.72268339,-122.3956567,3645,9.986301369863014
